post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count,Title,Content
1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035767019854857,9/19/2016,link,FALSE,,25,207,108,Fatina Abdrabboh: Islam 'Has Deep Roots' in US,"Fatina Abdrabboh, Director of American Arab Anti-Discrimination Committee in Dearborn, MI tells ABC News that Islam ""has deep roots"" in US: ""We have to dismantle"" the idea that Muslims are foreign."
1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1037782196320006,9/22/2016,link,FALSE,,38,138,32,President Obama Shares Emotional Video of Child Who Asked to Host Syrian Refugee,"As criticism continues over Donald Trump Jr.’s ""bowl of skittles"" tweet, President Obama is hoping a different story on Syrian refugees goes viral.

A video from the White House posted to Obama's Facebook page Wednesday night features a young boy named Alex from New York who wrote to Obama asking to host Omran Daqneesh, the 5-year-old Syrian boy shown in a heartbreaking picture out of Aleppo, Syria. Obama read the letter during a summit on refugees he hosted earlier this week at the UN General Assembly, calling for nations to adopt the same compassion shown by the young boy.
In less than 10 hours, the video posted on Obama's Facebook earned 106 thousand likes and was viewed more than 3 million times.

It gives a tour of Alex’s home as he reads about sharing his toys with Daqneesh, inviting him to birthday parties and hoping he will “teach us another language.”

“The humanity that a young child can display who hasn’t learned to be cynical, or suspicious, or fearful of other people because of how they look or where they’re from or how they pray,” Obama says in the video. “We can all learn from Alex.”"
1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041100572654835,9/26/2016,link,FALSE,,205,1049,997,5 Storylines to Watch During Tonight's Presidential Debate,"As millions of voters tune in to watch the first presidential debate of the 2016 campaign, there are several key issues to keep in mind.

The general election has been playing out for about two months now, with Donald Trump and Hillary Clinton taking direct aim at each other, but tonight will be the first time that they square off directly. Clinton has been preparing for her 35th presidential election debate for weeks. Aides say the former secretary of state — who is known for doing her homework — has been poring over briefing books and practicing in mock debates with a Trump stand-in, Clinton's longtime aide Philippe Reines.

She has said she expects it to be a ""difficult, challenging"" debate. Her campaign has even consulted with ""The Art of the Deal"" ghostwriter Tony Schwartz on how to beat him in a debate.

Trump was in debate prep meetings all day Friday after focusing more on campaigning than studying up for the showdown. Though no mock debates occurred, he was asked rounds of questions he could face from tonight's moderator.

The sessions were led by Trump surrogate and former New York City Mayor Rudy Giuliani, along with the campaign leadership. Acknowledging that there are concerns about his tone, Trump has repeatedly said that he plans to be polite — but only to a point.

""I'm going to be very respectful of her,"" Trump said during a interview on Fox News on Thursday.

""I think she deserves that, and I'm going to be nice. And if she's respectful of me, that’ll be nice. We'll have something that I think people will respect as a debate, but we'll see where it all goes. You really never know exactly how it's going to turn out, and that's why we're going to have a lot of people watching,"" he said.

For her part, Clinton and her team have spoken about how they had to prep by facing off against two versions of Trump: the more professional, contained version that has been present on the trail more recently and the more bombastic, uncontrolled version that was seen more during the primaries.

Famous Faces in the Audience
Chelsea Clinton will attend the debate, a first for her this election cycle, after not attending any of the Democratic primary debates.

And another familiar face is expected to be in the front row supporting Team Clinton: Mark Cuban.

The billionaire Dallas Mavericks owner is a vocal Clinton supporter and reportedly went so far as to volunteer to play Trump in her mock debates. He said earlier this week that the Clinton team never returned his email offer, but they did keep him in mind for another move. If Cuban is being put in the front row as some kind of psychological ploy, the television audience shouldn't expect to enjoy his presence. Peter Eyre, a senior adviser with the Commission on Presidential Debates, the independent organization that sponsors the events, told ABC News that the live audience will not be on camera during the debate at Hofstra University tonight.

There are expected to be about 1,000 people in the audience."
1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041281559303403,9/26/2016,link,FALSE,,2,50,34,Stars Comment on Social Media Before Tonight's Presidential Debate,"Tonight's presidential debate between Hillary Clinton and Donald Trump is must-see TV, and many celebrities will be watching from home, as well as from the front row.

Billionaire entrepreneur and ""Shark Tank"" co-star Mark Cuban has confirmed that he will be taking a front-row seat at the debate at Hofstra University on Long Island in New York to cheer on Team Hillary. ""Obviously, I'm a not a Trump fan. I am a Clinton fan,"" Cuban told ABC News today at the red carpet season premiere of ""Shark Tank."" ""I think she'd make a great president.

""I don't think he's got the skill set,"" he said about Trump. ""Let's put it this way, if he came on 'Shark Tank,' I wouldn't make the investment. I just don't see him as being capable in the least bit.""

Trump quickly responded to the news by tweeting that he was considering inviting Gennifer Flowers, the variety show performer who famously had an affair with Bill Clinton before he became president. Although Trump's campaign manager told ABC News' George Stephanopoulos that Trump did not actually invite Flowers, it seems she was willing to accept the invitation. Meanwhile, other celebrities are gearing up to watch the first debate between the two candidates. Here's what they are saying on social media:"
1.04E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1041543859277173,9/26/2016,link,FALSE,yes,228,447,147,"ANALYSIS: Hillary Clinton Baits Donald Trump Into Fight, and He More Than Counters","Hillary Clinton used the first presidential debate of the general-election season to launch a full frontal attack on Donald Trump, baiting him into fights over his personal finances, taxes, sexism, race relations, business dealings and personal honesty.

If Clinton came looking for a fight, she found it. Her aggressive tone drew Trump in.
He attacked Clinton right back, showing flashes of anger that channeled public frustration and also the coarser side of his public persona.

It made for some lively exchanges, including several that brought an edge to Trump’s tone.

“She doesn’t have the look,” Trump said toward the end of the debate. “She doesn’t have the stamina.”

Trump appeared rattled at times, particularly as the debate wore on. Yet his main attacks on Clinton were rooted in policy grounds, as he sought to give voice to public anger not just at Clinton but at the broader political class.

“You’ve been doing this for 30 years — why are you just thinking about these solutions now?” Trump said in a section of the debate about ways to create jobs.

“I have thought about this quite a bit,” Clinton countered.

“Yeah, for 30 years,” Trump responded.

Trump stretched facts and attacked Clinton’s temperament. He — for the most part — kept his cool.

Debate Fact-Check: How Donald Trump and Hillary Clinton Stack Up
First Presidential Debate: 10 Moments That Mattered
Most Memorable Lines of the First Presidential Debate
Throughout the debate, Clinton called Trump “Donald.” He almost always referred to her as “Secretary Clinton” and made sure that was all right with her.

“I want you to be very happy. It’s very important to me,” Trump said, challenging the fact-checkers once again.

Trump was brought onto his shakiest ground of the night when moderator Lester Holt brought up President Barack Obama’s birthplace — specifically why it took Trump until just weeks ago to declare the matter settled.

Trump flatly said, “I say nothing” to those who wonder why he pushed the matter as long as he did. And he falsely accused Clinton of starting the birther question in 2007, claiming credit for putting the issue to rest.

“Just like she can’t bring back jobs, she can’t produce” Obama’s birth certificate, Trump said.

Clinton pounced on an issue with resonance among black voters and other parts of the Obama coalition.

“It can’t be dismissed that easily. He has really started his political activity based on this racist lie that our first black president was not an American citizen,” she said. “The birther lie was a very hurtful one.”

Apparently worried that Trump would be on his best behavior, Clinton started her barrage early. She suggested that Trump’s success is inherited, and that he’s hiding his tax returns to avoid embarrassment.

“Maybe he’s not as rich as he says he is,” she said. “Maybe he’s not as charitable as he claims to be.”

Trump didn’t even bother to deny Clinton’s suggestion that he hasn’t paid income taxes “for a lot of years,” turning even that into an argument against the status quo.

“It would be squandered too, believe me,” Trump said.

Clinton also found a groove in attacking Trump on Iraq. Trump again insisted that he was against the Iraq War before it started, a statement for which there is no public record in support of his claim.

For his part, Trump took Clinton on consistently, attacking her on jobs, trade and national security, using her as a stand-in for politicians in general.

“I have a feeling that by the end of this evening, I’m going to be blamed for everything that ever happened,” Clinton said at one point.

Trump: “Why not?”

Clinton: “Just join the debate by saying more crazy things.”

Clinton had one of her better moments in declaring her fitness for office, keying off of Trump’s criticism of her for retreating from the campaign trail.

“Donald just criticized me for preparing for this debate. And yes, I did,” she said. “And you know what else I prepared for? I prepared to be president. And I think that’s a good thing.”

Later in the debate, Trump allowed that Clinton has experience, “but it’s bad experience,” he said.

“This country can't afford to have another four years of that kind of experience,” Trump said.

After the first extraordinary encounter between two extraordinarily unpopular nominees, the plays are clear. Clinton is putting her experience up against the anger Trump is channeling, anger that has two distinct sides to it.

They proved they can get under each other’s skin. But neither candidate proved that he or she has a winning message, not on the night of the first debate.
"
1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153850823751680,9/23/2016,link,FALSE,,61,608,92,Robert Kennedy Would Have Hated Donald Trump,"writing as a former legislative assistant to Senator Robert F. Kennedy and an enthusiastic supporter of Hillary Clinton for president, I was disappointed to see in Politico the screed written by my former colleague, Adam Walinsky, excoriating Clinton’s record on foreign policy and national security and going on to conclude that Donald Trump should therefore be elected president. It is one thing to disagree with Secretary Clinton, which Walinsky does heatedly, and quite another to turn to Donald Trump.

We should be clear that Walinsky’s critique is not confined to Clinton. He lays out (and massively overstates) a dark view not just of Clinton but also of President Obama and almost the entire Democratic Party. The analysis is overwrought, but even one who buys the argument defies all logic in imagining that the solution is Trump. The question is not whether there is a military-industrial complex in our country. President Eisenhower called us out on that and there is enough responsibility to go around among both parties for it. The 21st century version begins with the Iraq War, which was originated by a Republican President. I am not interested in adjudicating the issue of which party is the war party except to say that Presidents Obama, Clinton and Carter have stood for peace in important and tangible ways. The question here is whether Donald Trump can claim in any way that he is the candidate who stands for a foreign policy of restraint and the answer is that he cannot. Yes, we have put too much power in the hands of militarists and profit seekers in both the public and private sectors. But electing Donald Trump is not the answer; it would only compound the problem in new and dangerous ways. The answer is an active citizenry that speaks out against the inappropriate use of force and opposes interference in conflicts that involve neither American security interests nor egregious human rights violations—a topic in which Donald Trump has shown an ostentatious indifference, as his fondness for Vladimir Putin reflects.

All the evidence, provided again and again by Donald Trump’s own mouth, tells us not that he is a man of peace, but that he is a man of no principle—a man who will say, and possibly do, whatever happens to cross his mind at a given minute. He is like the weather in New England: If you don’t like it, wait a minute. We do not know what he believes because he does not know what he believes. We do not know what he knows because, from all we can see, he does not know much.

Even if Walinsky’s diatribe is correct, which it most certainly is not in its breadth and depth, there is nothing in it that justifies turning to Donald Trump. Of all occasions to break ranks with the Democratic Party, this is the most inappropriate. Of all the ways to misappropriate the memory of John and Robert Kennedy, two of our greatest public servants, this is the most egregious I have ever seen.

To say that I am disappointed by what Walinsky has done is an understatement. America, in this election, faces an existential question—and history will judge us by our answer. Walinsky has chosen the wrong side of the struggle."
1.02E+16,mainstream,Politico,https://www.facebook.com/politico/posts/10153851611551680,9/23/2016,link,FALSE,,5,69,47,Nerdcast 2016: Are you ready for debate night?,"It’s time for Episode 21 of the 2016 Nerdcast, POLITICO’s podcast on the race for the White House. Tune in each week to geek out with us as we dive deep into this amazing presidential race, the latest numbers that actually matter, plus backstage dope on how politics really works. We’re the people who spend Friday nights poring over poll numbers or the latest Federal Election Commission reports — so if you want to understand how the modern politics game is played, this is the podcast for you. POLITICO’s Kristin Roberts, Ken Vogel, Hadas Gold, Scott Bland and Katie Glueck discuss what can we expect from the first debate, the religious right’s conversion to Donald Trump, Trump as “strongman” and more."
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,9/19/2016,link,FALSE,,3,9,3, Guilty As Hell Paul Manafort And Rick Gates Enter â€˜Not Guiltyâ€™ Pleas In Russian Collusion Scandal (TWEET/VIDEO),"The world is exploding right now due to the news that Donald Trump s second campaign manager, Paul Manafort has been indicted on a litany of felony charges by Special Counsel Robert Mueller. Manafort, as well as his business associated and fellow Trump campaign official Rick Gates have been taken into federal custody, but both have laughably entered pleas of not guilty to all kinds of high crimes   including really shady stuff like money laundering and conspiracy against their own country.Of course, the Trump White House is in all-out  nothing to see here  mode. White House Press Secretary Sarah Huckabee Sanders spent her entire Monday briefing lying through her teeth with regards to the Manfort and Gates situation. As if this weren t bad enough for Team Trump, a third person in their orbit has been charged as well, foreign policy adviser George Padadopoulos. It also seems that this gentleman may be flipping on Trump, because he was caught lying to the Federal Bureau of Investigation, which is a crime, and is being listed as a cooperating witness, according to former U.S. Attorney Preet Bharara:Special Counsel Mueller appears to have a cooperating witness, George Papadopoulos. That is significant. Time will tell how significant.  Preet Bharara (@PreetBharara) October 30, 2017In short, the entire Trump White House is in deep shit. Sarah Sanders can say all day long that this has nothing to do with Trump s campaign, and they had to go flipping it all back to Hillary, even though she is a private citizen:These people are unbelievable. All I know is that this will continue to get closer to Trump and his inner circle, and they ll be removed in due course. Hopefully, the snakes in that pit continue to turn on each other in order to save their own skins, and we can take our country back from these treasonous squatters.Featured image via Chip Somodevilla/Getty Images"
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035679109863648,9/19/2016,link,FALSE,,,24,7, This Is What Fox News Considered â€˜Newsâ€™ As Everyone Else Covered Indictment Of Trump Camp Manager,"This morning, Trump s former campaign manager was indicted for conspiracy against the United States, a.k.a. treason (among other things   you can read the full list of charges here), and ordered to turn himself in to the FBI. As he did so, every news outlet was busy covering it, reporting on the situation as it developed. Except for Fox News. They must have needed some time to decide on their spin because they were reporting on candy and hamburger emojis while the story on Paul Manafort unfolded.Seriously. They were reporting on Halloween candy and some kind of  hamburger emoji crisis  at Google as the first indictment in Robert Mueller s Russia investigation was unsealed and handed down.8:30AM: CNN, Bloomberg, MSNBC, Fox pic.twitter.com/zfbo4PriSo  Rogue CPI (@RogueCPI) October 30, 2017As of 8:41, Fox has moved on to real issues. pic.twitter.com/DwGqgthW5R  Rae Whitlock (@RaeWhitlock) October 30, 2017This is FOX News currently  pic.twitter.com/4yInN7exr5  Josh S nchez (@jnsanchez) October 30, 2017CNN: Paul Manafort to turn himself in to FBI today MSNBC: Manfort Told to Surrender Fox News: Important story on hamburger emojis ???  pic.twitter.com/AQ8GxpAh8N  StrictlyCovfef  ? (@christoq) October 30, 2017Everybody else is talking about the Paul Manafort arrest, @foxnews is talking about cheeseburger emojis. #MuellerMonday pic.twitter.com/Y8vqPcIMYG  CarrieTBow (@CarrieTBow) October 30, 2017They did start talking about Manafort, and even published an opinion piece from contributor Erick Erickson, who is trying to spin this news into nothing by saying that it looks like the charges against Manafort have nothing to do with Trump. He is, of course, calling the whole thing a conspiracy in which Mueller comes up completely empty on the collusion story.Har de har har. Manafort is a slimeball. Unless Trump has something serious on him (and what could be more serious than the charges already against him?), Manafort will probably place his own ass above Trump s.Featured image via Frederick M. Brown/Getty Images and Twitter"
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035684116529814,9/19/2016,link,FALSE,,5,19,6, Racistsâ€™ Heads Will Explode When They Find Out White-On-White Crime Is Higher,"Despite what many racists say and regardless of the hand-picked statistics of the federal government in an effort to demonize black people, the rate of white-on-white crime in the United States is far higher than that of African-Americans victimizing white citizens.In a report published last Thursday by the Bureau of Justice Statistics (BJS) on  Race and Hispanic Origin of Victims and Offenders 2012-2015,  some staggering figures emerged. Research conducted over a four year period during which  U.S. residents experienced 5.8 million violent victimizations each year  found that the rate of white-on-white violent crime (12.0 per 1,000) was almost four times higher than black-on-white violent crime (3.1 per 1,000).However, even when the facts are blatantly obvious and staring them right in the face, there is no swaying some Republicans who still subscribe to the idea that African-Americans are still the largest threat to themselves and others. Case in point: former White House advisor Sebastian Gorka in this interview last Monday:On a Sinclair station, Gorka refers to ""black African crime on black African crime"" & says black men are killing each other ""by the bushel"" pic.twitter.com/Cbtqm39tTd  Yashar Ali ? (@yashar) October 24, 2017Indiana Attorney General Curtis Hill, an African-American himself, shares the same sentiments as Gorka. One of the most dramatically difficult things to fathom in this country is the amount of lives lost   black lives lost   as a result of black-on-black violence,  Hill said on Saturday. In the same year that we experienced about 259 police officer shootings of blacks in 2015, there were 6,000 black lives lost to murders from black people. However, contrary to what both Mr. Gorka and Mr. Hill believe, black men aren t killing each other  by the bushel.  In fact, according to the report, black-on-black violence has decreased exponentially in the last two decades, by almost the exact same rate as white-on-white violence. From 1994 to 2015, white-on-white violence and black-on-black violence declined at a similar rate. White-on-white violence declined 79 percent (from 52.5 to 10.8 victimizations per 1,000 white persons). Black-on-black violence declined 78 percent (from 66.6 to 14.5 victimizations per 1,000 black persons). Information on Hispanic origin of offenders was not collected prior to 2012,  the report stated.It s time that the U.S. government started to report the facts when it comes to the issue of race, instead of dividing the country.Featured image via Brian Blanco/Getty Images"
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1036354179796141,9/20/2016,link,FALSE,,,39,6, McCain Has The Best Laugh Heâ€™s Had In 80 Years When Heâ€™s Asked THIS About Donald Trump,"It s gotta be hard these days to be John McCain. Standing up to Donald Trump is pretty unpopular among Republicans these days, and we ve seen the proof in how quickly the base turned on some otherwise solidly-conservative GOP Senators who have decided the age of Trump is just too much for them.First Tennessee s Bob Corker then McCain s fellow Arizona Senator Jeff Flake dropped out of the running for reelection, possibly dashing the GOP s hopes for holding on to the Senate in the 2018 elections. But regardless of the fact that they ve both been what old Mitt Romney might call  severely conservative,  red meat Trump voters turned on the two like villagers with pitchforks.That could be, however, because they don t have the credentials John McCain has. When he trolled Trump hard last week on the  bone spurs  he used as an excuse to dodge the draft with all of his silver spoon, private school pals, Trump tried to clap back with a warning that  people have to be careful because at some point I fight back. McCain s answer? I have faced tougher adversaries. Now, you might think Donald Trump is at least smart enough not to come at a former POW with some weak stuff like that, but you d be wrong. Laughably wrong. In fact, go ahead and have a little laugh, because you re in good company.McCain thought it was hilarious.Appearing on The View the following day, the panel gave the senior Arizona Senator a chance to expound a little on his short response to the president s threat: He said he would  fight back  and it wouldn t be pretty. Are you scared? McCain didn t answer immediately because he was busy laughing his ass off. No, I mean, almost with tears in his eyes. There he is, next to his daughter   who just landed the spot on this show   and this old man looks like he s going to cry from laughing so hard. Every woman on the panel is cracking up. People offstage are howling.I just want to know Donald Trump has seen this clip. I can die happy as long as I know Donnie Daycare has watched this octogenarian cry tears of laughter at the prospect of being scared of little old him.Enjoy!McCain is asked if he's afraid of Trump. He laughs for about 15 straight second. pic.twitter.com/u7NYkkBGHf  Kyle Griffin (@kylegriffin1) October 23, 2017Featured image via Alex Wong/Getty Images"
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1037004463064446,9/21/2016,link,FALSE,,,63,1, Attempts By Trump To Pardon Anyone Indicted By Mueller Could Backfire On Him In A BIG Way,"There s a lot of talk that, if Mueller indicts friends and associates of Trump over the Russia scandal, Trump will just pardon them and nobody will get punished, least of all Trump. There are two problems with that: First, to accept a pardon is to admit guilt, so he d be throwing them under the bus. But secondly, and perhaps more importantly, any pardons he issues could land him in hot water just that much sooner. According to Rep. Adam Schiff (D-CA), his pardoning power is not exactly absolute.Schiff told ABC News: I don t think the president s power is all that absolute, as people have been suggesting.The president cannot pardon people if it s an effort to obstruct justice, if it s an effort to prevent Bob Mueller and others from learning about the President s own conduct. So, there are limitations. This whole thing really took off when Mueller was appointed special counsel to investigate whether Trump obstructed justice when he fired James Comey. It s true that the Constitution does give the president broad power to issue pardons for  offenses against the United States.  However, we currently don t have any precedent for a president pardoning people tied to his own campaign, and rumors have been circulating that Trump wants to test his pardoning powers to see just how far they actually go.That could be part of why the Tweeter-In-Chief was panicking so badly on Twitter that he screamed,  DO SOMETHING!  in a rant about Hillary Clinton and Uranium One. He might be aware that not only is Mueller getting closer to something that implicates him, which we just can t have, but also that he can t pardon anyone Mueller indicts (or perhaps has been strongly warned away from trying).A pardon would require an admission of guilt, but it would also prevent people from flipping on Trump and singing out the truth in exchange for lesser charges or a lesser sentence. Depending on who s indicted, and what they do, the man who would be king in the White House will find it far more difficult to keep claiming that Russia is just a distraction and there s nothing to it.And so will all his lackeys.Too bad.Featured image via Alex Wong/Getty Images"
1.84E+14,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1037034746394751,9/21/2016,link,FALSE,,72,137,76, Hereâ€™s What We ALL Need To Do If Trump Moves To Fire Mueller And Shut Down The Russia Probe,"Now that Special Counsel Robert Mueller is about to indict someone from Team Trump, The Donald and his cronies are panicking. They are realizing that the Russia probe is reaching all the way to the top levels of Trump World, and it might touch Trump s kids   or even Trump himself. Therefore, it shouldn t be a surprise if Trump moves to fire Robert Mueller in an effort to shut this probe down before more indictments start coming down. However, thanks to the good people over at MoveOn.org, there is a nationwide plan in place to respond to a Mueller firing within hours. Here is an image, via Twitter, of what that page looks like. You can even search by your zip code.This! pic.twitter.com/Pd36aLTTVX  WonderWoman (@AspenGold_) October 28, 2017Trump and his swamp creatures may believe that they are above the law. They are not. Nobody   not even and perhaps ESPECIALLY not the president   is above legal ramifications for operating in an unlawful fashion. These people are treasonous, and Robert Mueller is going to prove it. If Mueller is removed, we might as well hand the United States of America over to Vladimir Putin and the Kremlin.America, we must be the guardians of our own democratic republic. These incompetent authoritarians are destroying this country with their treasonous ways, and the only way to rid the nation of the scourge of white supremacy, homophobia, misogyny, xenophobia, and all other forms of dangerous bigotry and autocracy operating at the highest levels of our government is to remove and jail them all. Robert Mueller is key to that. He could save us   so if Trump tries to fire Mueller, it is up to refuse to let that stand.Featured image via Ann Heisenfelt/Getty Images"
